image,noise_ratio,method,PSNR,SSIM,IEF
kodim10,0.9,DBRAMF W5×5,20.744874916415835,0.5977341558349926,29.30793625492836
kodim10,0.9,DBRAMF W7×7,20.744874916415835,0.5977341558349926,29.30793625492836
kodim11,0.1,DBRAMF W3×3,33.464091314244975,0.9826743241691341,65.35411748156046
kodim11,0.1,DBRAMF W5×5,33.464091314244975,0.9826743241691341,65.35411748156046
kodim11,0.1,DBRAMF W7×7,33.464091314244975,0.9826743241691341,65.35411748156046
kodim11,0.2,DBRAMF W3×3,31.77205476212183,0.9628719441711304,88.54698008267971
kodim11,0.2,DBRAMF W5×5,31.77205476212183,0.9628719441711304,88.54698008267971
kodim11,0.2,DBRAMF W7×7,31.77205476212183,0.9628719441711304,88.54698008267971
kodim11,0.3,DBRAMF W3×3,30.257126463410643,0.9380527152569312,93.6286075936866
kodim11,0.3,DBRAMF W5×5,30.25713457299013,0.9380527208679319,93.6287824265192
kodim11,0.3,DBRAMF W7×7,30.25713457299013,0.9380527208679319,93.6287824265192
kodim11,0.4,DBRAMF W3×3,28.854249741441144,0.906114822412016,90.51826961936604
kodim11,0.4,DBRAMF W5×5,28.85426057014252,0.9061148332488264,90.51849531795854
kodim11,0.4,DBRAMF W7×7,28.85426057014252,0.9061148332488264,90.51849531795854
kodim11,0.5,DBRAMF W3×3,27.526295113594234,0.8667858729303028,83.46768832589542
kodim11,0.5,DBRAMF W5×5,27.526303089513917,0.8667858837671132,83.46784161639695
kodim11,0.5,DBRAMF W7×7,27.526303089513917,0.8667858837671132,83.46784161639695
kodim11,0.6,DBRAMF W3×3,26.161212552419514,0.8149938439577468,73.13058322668644
kodim11,0.6,DBRAMF W5×5,26.16121837710404,0.8149938104121585,73.13068130826011
kodim11,0.6,DBRAMF W7×7,26.16121837710404,0.8149938104121585,73.13068130826011
kodim11,0.7,DBRAMF W3×3,24.683705962520975,0.7454025143771404,60.72627114477152
kodim11,0.7,DBRAMF W5×5,24.683710507009234,0.745402459387444,60.72633468920549
kodim11,0.7,DBRAMF W7×7,24.683710507009234,0.745402459387444,60.72633468920549
kodim11,0.8,DBRAMF W3×3,22.875989974443574,0.6498202188007922,45.76142554852182
kodim11,0.8,DBRAMF W5×5,22.875989974443574,0.6498202188007922,45.76142554852182
kodim11,0.8,DBRAMF W7×7,22.876068955855764,0.6498217551969033,45.762257779883214
kodim11,0.9,DBRAMF W3×3,20.152342441921675,0.5070046662905194,27.477338150397948
kodim11,0.9,DBRAMF W5×5,20.152342441921675,0.5070046662905194,27.477338150397948
kodim11,0.9,DBRAMF W7×7,20.152755848197273,0.5070497717724323,27.479953851302874
kodim12,0.1,DBRAMF W3×3,34.65695696439002,0.9877552540989928,88.25156017200607
kodim12,0.1,DBRAMF W5×5,34.65695696439002,0.9877552540989928,88.25156017200607
kodim12,0.1,DBRAMF W7×7,34.65695696439002,0.9877552540989928,88.25156017200607
kodim12,0.2,DBRAMF W3×3,33.29825263999065,0.9732498976716769,128.7338556829868
kodim12,0.2,DBRAMF W5×5,33.29825263999065,0.9732498976716769,128.7338556829868
kodim12,0.2,DBRAMF W7×7,33.29825263999065,0.9732498976716769,128.7338556829868
kodim12,0.3,DBRAMF W3×3,32.03135518101452,0.9555290531695417,143.94966507063515
kodim12,0.3,DBRAMF W5×5,32.032692152219205,0.9555291775543187,143.9939866524106
kodim12,0.3,DBRAMF W7×7,32.032692152219205,0.9555291775543187,143.9939866524106
kodim12,0.4,DBRAMF W3×3,30.67738108197573,0.9333279411564448,140.55513428746883
